airport-id,airport-name,latitude,longitude
AST,ASTORIA,44.8373,-117.8075
ASU,Asuncion,-25.2411,-57.5168
ASV,Amboseli,-2.633,37.25
ASW,Aswan                                   ,23.9644,32.82
ATA,Anta                                    ,-9.3436,-77.5958
ATB,ATBARA,17.7097,34.0574
ATC,Arthurs Town Airport,24.67,-75.75
ATD,Atoifi                                  ,-8.8733,161.0114
ATF,AMBATO/CHACHOAN,-1.2119,-78.5747
ATH,Athens                                  ,37.9367,23.9445
ATK,Atqasuk,70.4673,-157.4357
ATL,Atlanta Hartsfield-Jackson Intl Apt,33.6367,-84.4281
ATM,Altamira,-3.2506,-52.2517
ATN,  Namatanai,-3.667,152.433
ATQ,Amritsar,31.7044,74.8021
ATR,ATAR,20.5008,-13.0467
ATT,Atmautluak,60.8667,-162.2731
ATW,Appleton,44.2581,-88.5191
ATY,Watertown,44.914,-97.1547
ATZ,Asyut                                   ,27.0464,31.0119
AUA,Aruba                                   ,12.5014,-70.0152
AUC,Arauca,7.0689,-70.7369
AUF,AUXERRE/BRANCHES,47.8464,3.4967
AUG,Augusta                                 ,44.32,-69.7967
AUH,Abu Dhabi International Apt,24.4367,54.6508
AUK,Alakanuk,62.68,-164.6599
AUL,XXX,8.1333,171.1667
AUQ,Hiva Oa,-9.7667,-139.0167
AUR,Aurillac,44.8975,2.4167
AUS,Austin-Bergstrom International Apt      ,30.195,-97.67
AUU,Aurukun,-13.3539,141.7208
AUW,WAUSAU DOWNTOWN,44.9285,-89.6266
AUX,Araguaina,-7.2281,-48.2403
AUY,Aneityum,-20.2492,169.7714
AVA,Anshun,26.2606,105.8731
AVB,AVIANO,45.925,12.4292
AVI,CIEGO DE AVILA MAXIMO GOMEZ,22.0269,-78.7894
AVL,Asheville,35.4367,-82.5417
AVN,Avignon Caumont Airport                 ,43.9067,4.9019
AVP,Wilkes-Barre Scranton International Apt,41.3384,-75.7234
AVR,ALVERCA-DGMFA,38.8855,-9.0281
AVU,  Avu Avu,-9.867,160.4
AVV,Melbourne Avalon Airport,-38.0394,144.4694
AWB,  Awaba,-8,142.75
AWD,Aniwa                                   ,-19.24,169.605
AWK,WAKE ISLAND AAF,19.2819,166.6386
AWZ,Ahwaz,31.3375,48.7603
AXA,Anguilla,18.2047,-63.0539
AXD,Alexandroupolis                         ,40.8558,25.9561
AXK,Ataq,14.5333,46.8167
AXM,Armenia                                 ,4.4533,-75.7658
AXN,ALEXANDRIA/CHANDLER FIELD,45.8663,-95.3947
AXP,Spring Point,22.4418,-73.9709
AXR,Arutua                                  ,-15.2464,-146.6203
AXT,Akita,39.6156,140.2185
AXU,Axum                                    ,14.1371,38.7761
AYK,ARKALYK,50.325,66.96
AYP,Ayacucho                                ,-13.1511,-74.2017
AYQ,Ayers Rock,-25.1867,130.975
AYR,AYR,-19.5958,147.3258
AYS,WAYCROSS WARE CO,31.2491,-82.3955
AYT,Antalya                                 ,36.9008,30.7947
AZA,Phoenix Williams Gateway Airport,33.3078,-111.6555
AZD,Yazd                                    ,31.9061,54.2764
AZI,Abu Dhabi Bateen Apt,24.4283,54.4581
AZN,Andizhan,40.7267,72.2933
AZO,Kalamazoo,42.2349,-85.5521
AZR,Adrar,27.8392,-0.1853
AZS,Samana                                  ,19.1986,-69.4298
BAB,BEALE AFB MARYSVILLE,39.1362,-121.4365
BAD,BOSSIER CITY/BARKSDALE AFB,32.5018,-93.6627
BAF,WESTFIELD/BARNES MUNI,42.1575,-72.7158
BAG,BAGUIO,16.3767,120.6189
BAH,Bahrain                                 ,26.2708,50.6336
BAL,Batman                                  ,37.9322,41.1164
BAM,BATTLE MOUNTAIN,40.599,-116.8743
BAQ,Barranquilla,10.8894,-74.7806
BAS,Balalae,-6.967,155.883
BAT,BARRETOS/CHAFEI AMSEI,-20.585,-48.5953
BAU,BAURU,-22.3436,-49.0539
BAV,Baotou,40.56,109.9969
BAX,Barnaul                                 ,53.3633,83.5417
BAY,Baia Mare                               ,47.6583,23.4662
BAZ,Barcelos,-0.9808,-62.9189
BBA,Balmaceda,-45.9186,-71.6972
BBH,BARTH,54.3382,12.7101
BBI,Bhubaneshwar,20.2467,85.8185
BBJ,BITBURG,49.9453,6.565
BBK,Kasane,-17.8297,25.1631
BBM,BATTAMBANG,13.103,103.2294
BBN,Bario,3.7339,115.4786
BBO,Berbera                                 ,10.3833,44.95
BBQ,  Codrington,17.6275,-61.8269
BBS,BLACKBUSH,51.3239,-0.8475
BBT,BERBERATI,4.2261,15.7856
BBU,BUCHAREST/BANEASA-AUREL VLAICU,44.5035,26.1036
BBW,BROKEN BOW,41.4367,-99.6417
BCA,Baracoa,20.3647,-74.5067
BCD,Bacolod                                 ,10.6425,122.9296
BCH,BAUCAU,-8.4854,126.3993
BCI,Barcaldine,-23.565,145.3094
BCL,  Barra del Colorado,10.7687,-83.5856
BCM,Bacau,46.5219,26.9103
BCN,Barcelona Apt                           ,41.2971,2.0785
BCR,BOCA DO ACRE/NOVO CAMPO,-8.8333,-67.3117
BCT,BOCA RATON,26.3784,-80.1076
BCW,Benguera Island,-23.7333,35.1167
BDA,Bermuda L.F Wade International          ,32.364,-64.6787
BDB,Bundaberg,-24.9053,152.3175
BDD,  Badu Island,-10.15,142.1742
BDE,BAUDETTE INTL,48.7284,-94.6122
BDH,Bandar Lengeh                           ,26.5314,54.8275
BDJ,Banjarmasin                             ,-3.4397,114.7528
BDL,Hartford Bradley International Apt      ,41.9389,-72.6832
BDM,BALIKESIR/BANDIRMA,40.3156,27.9828
BDO,Bandung,-6.9019,107.5761
BDP,Bhadrapur,26.5703,88.0758
BDQ,Vadodara,22.3294,73.2194
BDR,BRIDGEPORT/IGOR I. SIKORSKY,41.1607,-73.1245
BDS,Brindisi,40.6606,17.9481
BDT,GBADOLITE,4.25,20.9667
BDU,Bardufoss                               ,69.0558,18.5403
BEB,Benbecula                               ,57.4811,-7.3628
BED,BEDFORD/LAURENCE G.HANSCOM FLD,42.47,-71.29
BEG,Belgrade,44.8194,20.3125
BEJ,Berau                                   ,2.1533,117.4311
BEL,Belem                                   ,-1.3847,-48.4789
BEN,Benghazi,32.0975,20.2708
BEP,  Bellary,15.1628,76.8828
BES,Brest,48.4472,-4.4217
BET,Bethel Municipal Apt,60.7798,-161.838
BEU,Bedourie,-24.3467,139.46
BEV,BEER SHEBA-TEYMAN,31.2881,34.7231
BEW,Beira,-19.7947,34.8992
BEX,BENSON,51.6147,-1.0939
BEY,Beirut                                  ,33.8206,35.49
BFD,Bradford,41.803,-78.6402
BFF,Scottsbluff,41.874,-103.5956
BFI,Seattle Boeing Field,47.53,-122.302
BFJ,Bijie,27.3003,105.3014
BFL,Bakersfield,35.4333,-119.0567
BFM,MOBILE DOWNTOWN,30.6267,-88.0681
BFN,Bloemfontein,-29.0938,26.304
BFO,CHIREDZI/BUFFALO RANGE,-21.0086,31.5794
BFP,BEAVER CO,40.7725,-80.3915
BFQ,Bahia Pinas                             ,7.583,-78.2
BFS,Belfast International Apt               ,54.6575,-6.2158
BFV,Buri Ram,15.2267,103.2511
BFX,BAFOUSSAM,5.5347,10.3558
BGA,Bucaramanga,7.1269,-73.185
BGC,BRAGANCA,41.8567,-6.7075
BGF,Bangui                                  ,4.3977,18.5198
BGG,Bingol                                  ,38.86,40.5939
BGI,Barbados                                ,13.0746,-59.4921
BGM,Binghamton,42.2087,-75.9731
BGN,BRUEGGEN,51.2,6.1333
BGO,Bergen,60.2936,5.2181
BGR,Bangor,44.8074,-68.8281
BGU,BANGASSOU,4.7833,22.7833
BGW,Baghdad                                 ,33.35,44.417
BGX,BAGE/GUSTAVO KRAEMER,-31.3908,-54.1097
BGY,Milan Bergamo/Orio al Serio Apt,45.6689,9.7003
BHA,SAN VICENTE,-0.605,-80.4042
BHB,Bar Harbor,44.4498,-68.3616
BHD,Belfast George Best City Apt,54.6181,-5.8725
BHE,Blenheim,-41.5183,173.8703
BHG,  Brus Laguna,15.735,-84.5425
BHH,Bisha                                   ,19.9842,42.6231
BHI,Bahia Blanca,-38.7203,-62.1575
BHJ,Bhuj,23.2867,69.67
BHK,Bukhara                                 ,39.775,64.4833
BHM,Birmingham                              ,33.5629,-86.7535
BHO,Bhopal,23.2869,77.3369
BHQ,Broken Hill                             ,-32.0017,141.4717
BHR,Bharatpur                               ,27.6781,84.4294
BHS,Bathurst                                ,-33.4111,149.6528
BHU,Bhavnagar,21.7542,72.1906
BHV,Bahawalpur                              ,29.3444,71.7125
BHX,Birmingham Airport,52.4539,-1.748
BHY,Beihai,21.5394,109.2939
BIA,Bastia,42.55,9.4847
BIC,Big Creek,57.66,-157.58
BID,  Block Island,41.1681,-71.5778
BIE,BEATRICE,40.3017,-96.7533
