code|code_type|name|latitude|longitude
AVP|iata|Wilkes-Barre Scranton International Apt|41.3384|-75.7234
AVR|iata|ALVERCA-DGMFA|38.8855|-9.0281
AVU|iata|Avu Avu|-9.867|160.4
AVV|iata|Melbourne Avalon Airport|-38.0394|144.4694
AWB|iata|Awaba|-8.0|142.75
AWD|iata|Aniwa|-19.24|169.605
AWK|iata|WAKE ISLAND AAF|19.2819|166.6386
AWZ|iata|Ahwaz|31.3375|48.7603
AXA|iata|Anguilla|18.2047|-63.0539
AXD|iata|Alexandroupolis|40.8558|25.9561
AXK|iata|Ataq|14.5333|46.8167
AXM|iata|Armenia|4.4533|-75.7658
AXN|iata|ALEXANDRIA/CHANDLER FIELD|45.8663|-95.3947
AXP|iata|Spring Point|22.4418|-73.9709
AXR|iata|Arutua|-15.2464|-146.6203
AXT|iata|Akita|39.6156|140.2185
AXU|iata|Axum|14.1371|38.7761
AYK|iata|ARKALYK|50.325|66.96
AYP|iata|Ayacucho|-13.1511|-74.2017
AYQ|iata|Ayers Rock|-25.1867|130.975
AYR|iata|AYR|-19.5958|147.3258
AYS|iata|WAYCROSS WARE CO|31.2491|-82.3955
AYT|iata|Antalya|36.9008|30.7947
AZA|iata|Phoenix Williams Gateway Airport|33.3078|-111.6555
AZD|iata|Yazd|31.9061|54.2764
AZI|iata|Abu Dhabi Bateen Apt|24.4283|54.4581
AZN|iata|Andizhan|40.7267|72.2933
AZO|iata|Kalamazoo|42.2349|-85.5521
AZR|iata|Adrar|27.8392|-0.1853
AZS|iata|Samana|19.1986|-69.4298
BAB|iata|BEALE AFB MARYSVILLE|39.1362|-121.4365
BAD|iata|BOSSIER CITY/BARKSDALE AFB|32.5018|-93.6627
BAF|iata|WESTFIELD/BARNES MUNI|42.1575|-72.7158
BAG|iata|BAGUIO|16.3767|120.6189
BAH|iata|Bahrain|26.2708|50.6336
BAL|iata|Batman|37.9322|41.1164
BAM|iata|BATTLE MOUNTAIN|40.599|-116.8743
BAQ|iata|Barranquilla|10.8894|-74.7806
BAS|iata|Balalae|-6.967|155.883
BAT|iata|BARRETOS/CHAFEI AMSEI|-20.585|-48.5953
BAU|iata|BAURU|-22.3436|-49.0539
BAV|iata|Baotou|40.56|109.9969
BAX|iata|Barnaul|53.3633|83.5417
BAY|iata|Baia Mare|47.6583|23.4662
BAZ|iata|Barcelos|-0.9808|-62.9189
BBA|iata|Balmaceda|-45.9186|-71.6972
BBH|iata|BARTH|54.3382|12.7101
BBI|iata|Bhubaneshwar|20.2467|85.8185
BBJ|iata|BITBURG|49.9453|6.565
BBK|iata|Kasane|-17.8297|25.1631
BBM|iata|BATTAMBANG|13.103|103.2294
BBN|iata|Bario|3.7339|115.4786
BBO|iata|Berbera|10.3833|44.95
BBQ|iata|Codrington|17.6275|-61.8269
BBS|iata|BLACKBUSH|51.3239|-0.8475
BBT|iata|BERBERATI|4.2261|15.7856
BBU|iata|BUCHAREST/BANEASA-AUREL VLAICU|44.5035|26.1036
BBW|iata|BROKEN BOW|41.4367|-99.6417
BCA|iata|Baracoa|20.3647|-74.5067
BCD|iata|Bacolod|10.6425|122.9296
BCH|iata|BAUCAU|-8.4854|126.3993
BCI|iata|Barcaldine|-23.565|145.3094
BCL|iata|Barra del Colorado|10.7687|-83.5856
BCM|iata|Bacau|46.5219|26.9103
BCN|iata|Barcelona Apt|41.2971|2.0785
BCR|iata|BOCA DO ACRE/NOVO CAMPO|-8.8333|-67.3117
BCT|iata|BOCA RATON|26.3784|-80.1076
BCW|iata|Benguera Island|-23.7333|35.1167
BDA|iata|Bermuda L.F Wade International|32.364|-64.6787
BDB|iata|Bundaberg|-24.9053|152.3175
BDD|iata|Badu Island|-10.15|142.1742
BDE|iata|BAUDETTE INTL|48.7284|-94.6122
BDH|iata|Bandar Lengeh|26.5314|54.8275
BDJ|iata|Banjarmasin|-3.4397|114.7528
BDL|iata|Hartford Bradley International Apt|41.9389|-72.6832
BDM|iata|BALIKESIR/BANDIRMA|40.3156|27.9828
BDO|iata|Bandung|-6.9019|107.5761
BDP|iata|Bhadrapur|26.5703|88.0758
BDQ|iata|Vadodara|22.3294|73.2194
BDR|iata|BRIDGEPORT/IGOR I. SIKORSKY|41.1607|-73.1245
BDS|iata|Brindisi|40.6606|17.9481
BDT|iata|GBADOLITE|4.25|20.9667
BDU|iata|Bardufoss|69.0558|18.5403
BEB|iata|Benbecula|57.4811|-7.3628
BED|iata|BEDFORD/LAURENCE G.HANSCOM FLD|42.47|-71.29
BEG|iata|Belgrade|44.8194|20.3125
BEJ|iata|Berau|2.1533|117.4311
BEL|iata|Belem|-1.3847|-48.4789
BEN|iata|Benghazi|32.0975|20.2708
BEP|iata|Bellary|15.1628|76.8828
BES|iata|Brest|48.4472|-4.4217
BET|iata|Bethel Municipal Apt|60.7798|-161.838
BEU|iata|Bedourie|-24.3467|139.46
BEV|iata|BEER SHEBA-TEYMAN|31.2881|34.7231
BEW|iata|Beira|-19.7947|34.8992
BEX|iata|BENSON|51.6147|-1.0939
BEY|iata|Beirut|33.8206|35.49
BFD|iata|Bradford|41.803|-78.6402
BFF|iata|Scottsbluff|41.874|-103.5956
BFI|iata|Seattle Boeing Field|47.53|-122.302
BFJ|iata|Bijie|27.3003|105.3014
BFL|iata|Bakersfield|35.4333|-119.0567
BFM|iata|MOBILE DOWNTOWN|30.6267|-88.0681
BFN|iata|Bloemfontein|-29.0938|26.304
BFO|iata|CHIREDZI/BUFFALO RANGE|-21.0086|31.5794
BFP|iata|BEAVER CO|40.7725|-80.3915
BFQ|iata|Bahia Pinas|7.583|-78.2
BFS|iata|Belfast International Apt|54.6575|-6.2158
BFV|iata|Buri Ram|15.2267|103.2511
BFX|iata|BAFOUSSAM|5.5347|10.3558
BGA|iata|Bucaramanga|7.1269|-73.185
BGC|iata|BRAGANCA|41.8567|-6.7075
BGF|iata|Bangui|4.3977|18.5198
BGG|iata|Bingol|38.86|40.5939
BGI|iata|Barbados|13.0746|-59.4921
BGM|iata|Binghamton|42.2087|-75.9731
BGN|iata|BRUEGGEN|51.2|6.1333
BGO|iata|Bergen|60.2936|5.2181
BGR|iata|Bangor|44.8074|-68.8281
BGU|iata|BANGASSOU|4.7833|22.7833
BGW|iata|Baghdad|33.35|44.417
BGX|iata|BAGE/GUSTAVO KRAEMER|-31.3908|-54.1097
BGY|iata|Milan Bergamo/Orio al Serio Apt|45.6689|9.7003
BHA|iata|SAN VICENTE|-0.605|-80.4042
BHB|iata|Bar Harbor|44.4498|-68.3616
BHD|iata|Belfast George Best City Apt|54.6181|-5.8725
BHE|iata|Blenheim|-41.5183|173.8703
BHG|iata|Brus Laguna|15.735|-84.5425
BHH|iata|Bisha|19.9842|42.6231
BHI|iata|Bahia Blanca|-38.7203|-62.1575
BHJ|iata|Bhuj|23.2867|69.67
BHK|iata|Bukhara|39.775|64.4833
BHM|iata|Birmingham|33.5629|-86.7535
BHO|iata|Bhopal|23.2869|77.3369
BHQ|iata|Broken Hill|-32.0017|141.4717
BHR|iata|Bharatpur|27.6781|84.4294
BHS|iata|Bathurst|-33.4111|149.6528
BHU|iata|Bhavnagar|21.7542|72.1906
BHV|iata|Bahawalpur|29.3444|71.7125
BHX|iata|Birmingham Airport|52.4539|-1.748
BHY|iata|Beihai|21.5394|109.2939
BIA|iata|Bastia|42.55|9.4847
BIC|iata|Big Creek|57.66|-157.58
